Fullname,Gender,Age,Skills,Company,Salary (SEK),Location,Registration Date
Martha Rice,female,54,Mathematical Modeling; AutoCAD; Analytics; Ruby; Blender; HTML,Jump Networks,27000,69.68208076105853; 18.943532302418394,2023-05-27
Elise Walker,female,40,Algorithms; HTML; Mathematics; Cloud Computing,Classic Games,42000,63.43105692397226; 10.39870699499036,2023-05-13
Connie Hardin,female,22,HTTP; C++; Node.js; Knowledge Base,Online Anywhere,51000,60.390544887988796; 5.325780364100125,2023-05-16
Ashley Duron,female,42,Hardware; Elasticsearch; SQL,ShadowFactor Software,33000,59.9093490504594; 10.743191255887776,2023-09-27
Christina Davidson,female,25,Node.js; Python,Softway Systems,24000,69.68113280403044; 18.943559675537102,2023-03-24
Sue Melton,female,49,NoSQL; MySQL; Python; SQL,Jump Networks,42000,59.91525633916117; 10.74086631943329,2023-08-22
Rochelle Boyett,female,36,Knowledge Base; Software Development; Celery; Symbolic Programming; Cloud Computing,Softimage,27000,63.42838483010294; 10.392900910625185,2023-08-30
Nannie Lopez,female,41,Data Analytics; MySQL; JavaScript; SQL,Network Managers,30000,68.4357797181504; 17.397691457232707,2023-04-26
Christine Roberts,female,36,Stress resistance; Public Speaking; Business Intelligence; Teamwork skills; UML; Management,NextBase,42000,68.43656744672668; 17.40212575475658,2023-01-06
Eleanor Sivels,female,33,Python; Сlassification; scikit-learn,Jump Networks,51000,59.91704610677902; 10.73944646371231,2023-09-09
Etta Stiles,female,39,Dynamic programming; MS Office; Data Structures; C; HTML,Clearleap,39000,69.68352340316503; 18.94883486089562,2023-09-27
Ines Stone,female,40,Computer Science; MS Office; Python; Tensorflow; Сlassification,Colusa Software,45000,59.909815962032674; 10.738933276023996,2023-07-16
Kathleen Barry,female,47,CMS; Hardware; Adobe After Effects,Orion Network Systems,51000,59.91267889799444; 10.739474275178486,2023-01-30
Susanna Mazza,female,34,Computer Science; Сlustering; Python; Knowledge Base,Colusa Software,54000,60.38805148780191; 5.334739139335527,2023-07-07
Sherry Riley,female,31,Pillow; Image segmentation; OpenCV; HTML; Python,Jump Networks,27000,63.42691073368295; 10.391591340810848,2023-02-06
Mark Nelson,male,28,Debugging; Python; Software Development; Distributed Computing,NextBase,30000,68.43651216096386; 17.400489523857868,2023-09-18
Carlos Marlowe,male,32,Knowledge Base; C++; GIMP; Inkscape,Softimage,27000,69.68189343335021; 18.948415022565598,2023-02-16
Gladys Murillo,female,35,Knowledge Base; Ruby; Kafka; Ansimble; Python,Orion Network Systems,39000,58.968835963550035; 5.732885453356827,2023-09-24
Tina Edelman,female,30,Financial Analysis; iOS; Teamwork skills; Ability to lead people; UML,Online Anywhere,75000,60.39222689236087; 5.330801247081142,2023-08-14
Desiree Smith,female,40,JavaScript; Celery; MS Office; Cloud Computing,NextBase,45000,69.6813647268154; 18.94469574031784,2023-03-04
Jeannette Brack,female,36,MapReduce; R; Debugging; Software Development; Celery; Java,Online Anywhere,54000,59.90947495393559; 10.749407506951883,2023-05-30
Mitzi Wilkinson,female,41,Dynamic programming; Algorithms,Jump Networks,39000,59.91073112504651; 10.741461991173148,2023-07-29
Phillip Mahar,male,29,Testing; Debugging; Symbolic Programming; CSS; Distributed Computing,Classic Games,33000,58.9738171951235; 5.733551469071813,2023-07-16
Alicia Valle,female,28,AutoCAD; Mathematical Modeling; Blender,Classic Games,24000,60.391093731021755; 5.332712488824333,2023-08-25
Elizabeth Candler,female,38,UI/UX; R; Adobe Photoshope; HTML; Mathematics,"Talko, Inc.",33000,67.28356169555761; 14.377208845071802,2023-06-08
Stephen Green,male,42,Keras; Regression Analysis; C++; Ruby; AdaBoost; Statistics; Python,Classic Games,48000,68.43467632596054; 17.402698659023155,2023-05-12
Brian Oconnor,male,26,Stress resistance; Responsible; Ability to lead people; BPMN; Business Analysis,Colusa Software,36000,59.91175544144405; 10.743722947742961,2023-06-18
Heather Febus,female,26,C#; Celery; Parallel Processing; Cloud Computing; MacOS,Softimage,36000,69.68299011706353; 18.944011602865807,2023-01-11
Lynn Anderson,female,34,MySQL; MS Office; Oracle; SQL,Classic Games,30000,60.39451870307269; 5.335755512502161,2023-03-28
